Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
d2788a53-da84-3c39-9c1b-00e2e714e9f6,74ab949d-17ac-3309-83a0-13b4405c66aa,Ted955 Reilly981,M,GENERAL PRACTICE,881 Main Street,Fitchburg,MA,01420,42.586487,-71.80521,1160,0
956d8e61-4385-3057-a9b9-0681ba5c766a,588f6ce6-b8db-3588-8189-29db2680a313,Terence292 Brakus656,M,GENERAL PRACTICE,461 WALNUT AVE,JAMAICA PLAIN,MA,021302331,42.311587599999996,-71.09800136347226,25,0
5f0f7dcf-c6f7-3d2d-9b80-1725775410a9,faffaf6a-ee1a-3673-b0b0-421a9c249244,Eva64 Burgos636,F,GENERAL PRACTICE,66 WASHINGTON ST,STOUGHTON,MA,020722571,42.14415820061801,-71.10378319512402,89,0
d2f33f02-fcab-31ae-8187-bbf222b4a9e4,17a4bae5-8b64-34d7-8144-b428be027bd0,Lindsay928 Ward668,M,GENERAL PRACTICE,512 MAIN STREET  SUITE 211,SHREWSBURY,MA,015456406,42.295109499999995,-71.71808471110307,20,0
7208f3b8-0cf8-35f3-8a23-90bca14a216d,4112b8b1-59df-3255-a7ca-f42ee0a4cb2e,Ambrose149 Feeney44,M,GENERAL PRACTICE,37 ROUTE 6A,SANDWICH,MA,025631801,41.766329400000004,-70.5147600346998,7,0
651cdda5-5e98-3aa2-b8b2-fffcc9c978ed,e09d4c49-c2ef-3b0f-9a46-3719d9219306,Barbara209 Maldonado119,F,GENERAL PRACTICE,60 HOSPITAL RD,LEOMINSTER,MA,014533290,42.54031915,-71.76312990486304,511,0
6d9c3aed-0143-3d37-816b-a3b17dba512d,c241b977-4131-32e4-9957-e0a00b2a1e5f,Brittanie254 Krajcik437,F,GENERAL PRACTICE,94 MAIN STREET,HYANNIS,MA,026013146,41.6562802,-70.27448000204822,50,0
ce3155cb-346f-31d6-9dde-a196718c47ae,ef5390b4-cba5-3d83-96db-af783a7adb43,Evan94 Anderson154,F,GENERAL PRACTICE,360 MERRIMACK ST,MALDEN,MA,021482329,42.4250964,-71.066163,5,0
67dcdb6b-98a6-3d2e-a174-5f90d02acab3,77645e49-3f69-3d1d-bb93-dc65210e2fac,Jarvis643 Ankunding277,M,GENERAL PRACTICE,363 HIGHLAND AVE,FALL RIVER,MA,027205246,41.7093779,-71.1460783680883,87,0
572624e0-bc66-3cac-9fcb-ae8f0ac41b39,6fafb5d4-ecca-37ab-8d24-53036a8cbf1e,Shelley12 Nikolaus26,F,GENERAL PRACTICE,320 WEST CENTER STREET  2ND FLOOR,WEST BRIDGEWATER,MA,02379,42.016080599999995,-71.02601589317304,6,0
cba13750-9fe7-3a55-a5ce-2d11046ee99c,aa682136-a4df-3942-9f50-e6fcee6c0b73,Precious140 Runolfsson901,F,GENERAL PRACTICE,501 CORDWAINER DRIVE,NORWELL,MA,020611630,42.1647071,-70.88149077838713,9,0
f4092fd2-9ce1-31b5-b5a9-b01e0493b821,d2284f74-b6da-3a15-9791-84cdf2db18fb,Fernande593 Mosciski958,F,GENERAL PRACTICE,331 E FALMOUTH HWY,E FALMOUTH,MA,025366039,41.57853245,-70.5617374807812,31,0
9d384d02-6604-38df-a831-dbfa82a62bb7,5becf220-2978-3f33-bd38-9326947f85de,Tijuana228 Leannon79,F,GENERAL PRACTICE,240 LYNNFIELD STREET,PEABODY,MA,019605055,42.5141736,-70.97106354209534,31,0
4b70e11c-a128-39c0-9b7b-d08d0cb1060f,ae88fd02-4911-3625-9e97-85b626ed3b0b,Ángela136 Aguirre875,F,GENERAL PRACTICE,476 VARNUM AVE,LOWELL,MA,018542122,42.6443795,-71.34721987550876,2,0
c052965a-f501-3645-ad81-661f635d6cf9,a58ec72a-cf43-3de5-88c1-de2fbec976a5,Riley817 Bartoletti50,M,GENERAL PRACTICE,255 CENTRAL AVE,CHELSEA,MA,021503508,42.38804035,-71.02650270378646,3,0
98140b56-4139-3728-bd70-9ebd2d766b38,2936ca90-6594-357d-be14-53fe0ab84dd1,Daniel959 Ankunding277,M,GENERAL PRACTICE,11 TREMONT ST,KINGSTON,MA,023641231,42.00823215,-70.72984043580247,68,0
4db72922-058f-39ed-b028-6fc725c91beb,e3089df2-a1db-372a-b660-30392d8c197b,Marylynn944 Waters156,F,GENERAL PRACTICE,178 N MAIN ST,SHARON,MA,020671229,42.13301625,-71.17263163492832,20,0
59f61a8d-1429-3730-b613-8254ad370d52,42d4b607-f14d-370a-818e-40965685776c,Marchelle563 Hettinger594,F,GENERAL PRACTICE,3 WASHINGTON ST STE 220,NORTH EASTON,MA,023561034,42.0667665,-71.1036592,123,0
5606c0e8-f75a-37d7-aeb3-b37c70c23086,ab701a70-a658-340e-8f69-ee196a7d40c6,Jolie499 Parisian75,F,GENERAL PRACTICE,484 RTE 134,WORCESTER,MA,016071728,42.2625621,-71.8018877,71,0
d6db44b3-6389-3b09-8619-bc6a2a40e621,41e77ca4-b0d7-3c1d-ac88-4ae5a705913d,Wanita14 Pfeffer420,F,GENERAL PRACTICE,20 CLAFLIN STREET,MILFORD,MA,017573356,42.137601149999995,-71.51680334935877,1,0
c18648d3-ab01-3b97-8e32-956a2f5cfc37,11ba6a26-59b4-3728-a268-6dc9929962b4,Angelic427 McCullough561,F,GENERAL PRACTICE,200 GOVERNORS AVENUE,MEDFORD,MA,021551644,42.42711615,-71.1121606632448,62,0
209a5824-f4cc-32c2-bfc5-e2f2f027b74d,f736c0f5-6d39-3e26-8ac1-39e1fc60dfbe,Joe656 Jakubowski832,M,GENERAL PRACTICE,11 QUARRY HILL ROAD,LEE,MA,012389645,42.2816564,-73.25307843923315,19,0
3c76ea88-a9e2-32d8-91e4-612c4364b035,71472d9b-aa5c-3b49-a5c3-d0eee8859015,Cuc113 Kutch271,F,GENERAL PRACTICE,118 WATERHOUSE RD STE C,BOURNE,MA,025328305,41.7281115,-70.5861571324252,136,0
d74b373e-c992-35ad-ae03-4f48601c5620,8a2e2731-3240-39d1-b4f0-cad14200937d,Carter549 Ritchie586,M,GENERAL PRACTICE,88 WASHINGTON ST,TAUNTON,MA,027802465,41.9062805,-71.09518121351795,510,0
1afa32ca-0929-319e-9ef3-a313919ebf2a,bee866be-d41f-3259-97b2-0e10331c6c16,Emory494 Sawayn19,M,GENERAL PRACTICE,589 HIGHLAND AVE,NEEDHAM,MA,024942205,42.300873100000004,-71.22988027903574,2,0
3ee920b1-8a21-3ed4-80e5-54408b6e1cbf,88e28a1c-aad9-36d0-832b-b579ecb95c3d,Cherish740 Toy286,F,GENERAL PRACTICE,14 MANNING AVENUE,LEOMINSTER,MA,014535768,42.5253035,-71.7584413,43,0
c1a4c67a-b6f6-3968-b7d7-b170371ab1a9,52ecddd8-42f6-35cc-88a5-cf474c02fb49,Javier97 Otero621,M,GENERAL PRACTICE,94 OBERY STREET,PLYMOUTH,MA,023602130,41.93725,-70.65503160208334,70,0
37032b0e-dc77-3274-9515-0832fe96ac2a,65450d34-6d61-3601-b325-9d471587b016,Rachael540 Moore224,F,GENERAL PRACTICE,4 COURTHOUSE LN,CHELMSFORD,MA,018241731,42.62439345,-71.35881000636567,69,0
41616ac1-adf0-35a3-a3ef-493a633c0d1b,2b376b69-72ac-3d68-aceb-018e82b8fc8f,Shaquita282 Klocko335,F,GENERAL PRACTICE,113 CENTRAL AVE,HYDE PARK,MA,021363021,42.26077065,-71.1187885119897,1,0
22300d65-41d7-3df7-8d41-9ed7d224fb44,39104cad-5228-3e07-9b3e-3ad736b33d5d,Chase54 Muller251,M,GENERAL PRACTICE,200 PROVIDENCE HWY,DEDHAM,MA,020261881,42.22214545274341,-71.18159060546684,112,0
90876974-3746-32f1-b8d8-707cdffa9d5e,817a1428-2045-3e89-9fa2-ef7d287d6fa5,Gracia333 Schuster709,F,GENERAL PRACTICE,70-71 N PARISH RD,LAWRENCE,MA,01843,42.690315,-71.150015,66,0
